序号,系统编码,标签版本,是否当前版本,适用文书类型,医院,所属标签包,标签名称,标签CODE,定义/描述,标签英文名,其他名称,来源,来源版本,来源编码,标准名称,标准类型,CDE编号,CDE来源,CReDEs-数据项,CReDEs-值域描述,原映射编码,CReDEs_限定范围,CReDEs_限定范围(英文),CReDEs_值域描述,CReDEs_值域描述(英文),数据类型,文本-长度,数字-长度,数字-精度,数字-单位,日期/时间,枚举-可选内容,枚举-是否多选,,,,
327,LI0000046,0bad1a820ef7ee7fd67336dbfaf9e577de42c9e9aa857566f8bf64ed58308d5e,Yes,"入院记录,个人史","东肝,九院",分段,吸烟史,SMK_HIST,过去和现在的吸烟习惯总览。,Smoking History,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.04.03.0000018.01.01,卫健委,吸烟标志,标识个体是否吸烟,SI1105628,,,,,枚举,,,,,,不吸烟;偶尔吸烟;习惯吸烟，<1包/天;习惯吸烟，≥1包/天,否,,,,
334,LI0000048,618bb3f038a720a2bfb331b0de7248a09f4483c8c3119f9822edd3a45f7bf03d,Yes,日常病程,东肝,分段,文书标题,DOC_TITLE,电子病历日常病程文书的标题，含治疗操作记录、查房记录、术后首次病程等,Document Title,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.99.00.0000600.01.01,东肝,文书类型,,SI1115028,,,,,枚举,,,,,,0=手术文书;2=病程记录;3=输血记录;4=术后首次病程;5=转入转出记录,否,,,,
336,LI0000048,618bb3f038a720a2bfb331b0de7248a09f4483c8c3119f9822edd3a45f7bf03d,Yes,日常病程,东肝,分段,文书标题,DOC_TITLE,电子病历日常病程文书的标题，含治疗操作记录、查房记录、术后首次病程等,Document Title,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.99.00.0000599.01.01,东肝,文书标题,,SI1115027,,,,,文本,,,,,,,,,,,
340,LI0000050,fdf60ba332415b31ec8d220122c39c970b7af49f557a4d6067df843ad7149c28,Yes,病理检查,东肝,检查与检测,染色项目及结果,STAIN_PANEL,用于诊断的各种特殊染色的结果，如Masson、AB、网染等。,Staining Panel ,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.99.00.0000471.01.01,东肝,术后病理_masson染色,,SI1114896,,,,,枚举,,,,,,0=阴性;1=阳性,否,,,,
344,LI0000050,fdf60ba332415b31ec8d220122c39c970b7af49f557a4d6067df843ad7149c28,Yes,病理检查,东肝,检查与检测,染色项目及结果,STAIN_PANEL,用于诊断的各种特殊染色的结果，如Masson、AB、网染等。,Staining Panel ,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.99.00.0000490.01.01,东肝,术后病理_网染,,SI1114915,,,,,枚举,,,,,,0=阴性;1=阳性,否,,,,
353,LI0000050,fdf60ba332415b31ec8d220122c39c970b7af49f557a4d6067df843ad7149c28,Yes,病理检查,东肝,检查与检测,染色项目及结果,STAIN_PANEL,用于诊断的各种特殊染色的结果，如Masson、AB、网染等。,Staining Panel ,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.99.00.0000446.01.01,东肝,术后病理_AB染色,,SI1114871,,,,,枚举,,,,,,0=阴性;1=阳性,否,,,,
357,LI0000050,fdf60ba332415b31ec8d220122c39c970b7af49f557a4d6067df843ad7149c28,Yes,病理检查,东肝,检查与检测,染色项目及结果,STAIN_PANEL,用于诊断的各种特殊染色的结果，如Masson、AB、网染等。,Staining Panel ,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.99.00.0000489.01.01,东肝,术后病理_VG染色,,SI1114914,,,,,枚举,,,,,,0=阴性;1=阳性,否,,,,
361,LI0000051,cea76c2b9a65eef64bfe8223e11df1365c27f71279253a1421c6e988d8409f7b,Yes,"病理诊断,病理检查","东肝,九院",检查与检测,免疫组化项目及结果,IHC_PANEL,使用免疫组化技术检测的不同生物标记物的结果。,Immunohistochemistry (IHC) Panel,"P16, HPV",,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.99.00.0000475.01.01,东肝,术后病理_P27,,SI1114900,,,,,枚举,,,,,,0=阴性;1=阳性;9=未描述,否,,,,
366,LI0000051,cea76c2b9a65eef64bfe8223e11df1365c27f71279253a1421c6e988d8409f7b,Yes,"病理诊断,病理检查","东肝,九院",检查与检测,免疫组化项目及结果,IHC_PANEL,使用免疫组化技术检测的不同生物标记物的结果。,Immunohistochemistry (IHC) Panel,"P16, HPV",,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.99.00.0000477.01.01,东肝,PCEA,,SI1114902,,,,,枚举,,,,,,0=阴性;1=阳性;9=未描述,否,,,,
367,LI0000051,cea76c2b9a65eef64bfe8223e11df1365c27f71279253a1421c6e988d8409f7b,Yes,"病理诊断,病理检查","东肝,九院",检查与检测,免疫组化项目及结果,IHC_PANEL,使用免疫组化技术检测的不同生物标记物的结果。,Immunohistochemistry (IHC) Panel,"P16, HPV",,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.99.00.0000462.01.01,东肝,术后病理_Gly-3,,SI1114887,,,,,枚举,,,,,,0=阴性;1=阳性;9=未描述,否,,,,
372,LI0000051,cea76c2b9a65eef64bfe8223e11df1365c27f71279253a1421c6e988d8409f7b,Yes,"病理诊断,病理检查","东肝,九院",检查与检测,免疫组化项目及结果,IHC_PANEL,使用免疫组化技术检测的不同生物标记物的结果。,Immunohistochemistry (IHC) Panel,"P16, HPV",,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.99.00.0000487.01.01,东肝,术后病理_TFF3,,SI1114912,,,,,枚举,,,,,,0=阴性;1=阳性;9=未描述,否,,,,
377,LI0000051,cea76c2b9a65eef64bfe8223e11df1365c27f71279253a1421c6e988d8409f7b,Yes,"病理诊断,病理检查","东肝,九院",检查与检测,免疫组化项目及结果,IHC_PANEL,使用免疫组化技术检测的不同生物标记物的结果。,Immunohistochemistry (IHC) Panel,"P16, HPV",,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.99.00.0000472.01.01,东肝,术后病理_MUC-1,,SI1114897,,,,,枚举,,,,,,0=阴性;1=阳性;9=未描述,否,,,,
382,LI0000051,cea76c2b9a65eef64bfe8223e11df1365c27f71279253a1421c6e988d8409f7b,Yes,"病理诊断,病理检查","东肝,九院",检查与检测,免疫组化项目及结果,IHC_PANEL,使用免疫组化技术检测的不同生物标记物的结果。,Immunohistochemistry (IHC) Panel,"P16, HPV",,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.99.00.0000473.01.01,东肝,术后病理_MUC-5AC,,SI1114898,,,,,枚举,,,,,,0=阴性;1=阳性;9=未描述,否,,,,
387,LI0000051,cea76c2b9a65eef64bfe8223e11df1365c27f71279253a1421c6e988d8409f7b,Yes,"病理诊断,病理检查","东肝,九院",检查与检测,免疫组化项目及结果,IHC_PANEL,使用免疫组化技术检测的不同生物标记物的结果。,Immunohistochemistry (IHC) Panel,"P16, HPV",,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.99.00.0000454.01.01,东肝,术后病理_CK8,,SI1114879,,,,,枚举,,,,,,0=阴性;1=阳性;9=未描述,否,,,,
392,LI0000051,cea76c2b9a65eef64bfe8223e11df1365c27f71279253a1421c6e988d8409f7b,Yes,"病理诊断,病理检查","东肝,九院",检查与检测,免疫组化项目及结果,IHC_PANEL,使用免疫组化技术检测的不同生物标记物的结果。,Immunohistochemistry (IHC) Panel,"P16, HPV",,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.07.00.0000812.01.01,上海东方肝胆医院院级临床研究数据集,免疫组化_CD56,,SI1121959,,,,,枚举,,,,,,0=阴性;1=阳性,否,,,,
396,LI0000051,cea76c2b9a65eef64bfe8223e11df1365c27f71279253a1421c6e988d8409f7b,Yes,"病理诊断,病理检查","东肝,九院",检查与检测,免疫组化项目及结果,IHC_PANEL,使用免疫组化技术检测的不同生物标记物的结果。,Immunohistochemistry (IHC) Panel,"P16, HPV",,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.99.00.0000459.01.01,东肝,术后病理_Fibrinogen,,SI1114884,,,,,枚举,,,,,,0=阴性;1=阳性;9=未描述,否,,,,
401,LI0000051,cea76c2b9a65eef64bfe8223e11df1365c27f71279253a1421c6e988d8409f7b,Yes,"病理诊断,病理检查","东肝,九院",检查与检测,免疫组化项目及结果,IHC_PANEL,使用免疫组化技术检测的不同生物标记物的结果。,Immunohistochemistry (IHC) Panel,"P16, HPV",,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.08.00.0004068.01.01,九院;东肝,甲胎蛋白定性,,SI1113037,,,,,枚举,,,,,,0=阴性;1=阳性;9=未做,否,,,,
407,LI0000051,cea76c2b9a65eef64bfe8223e11df1365c27f71279253a1421c6e988d8409f7b,Yes,"病理诊断,病理检查","东肝,九院",检查与检测,免疫组化项目及结果,IHC_PANEL,使用免疫组化技术检测的不同生物标记物的结果。,Immunohistochemistry (IHC) Panel,"P16, HPV",,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.08.00.0003088.01.01,中山七院,CA19-9,,SI1109921,,,,,小数,,6,2,ug/L,,,,,,,
415,LI0000051,cea76c2b9a65eef64bfe8223e11df1365c27f71279253a1421c6e988d8409f7b,Yes,"病理诊断,病理检查","东肝,九院",检查与检测,免疫组化项目及结果,IHC_PANEL,使用免疫组化技术检测的不同生物标记物的结果。,Immunohistochemistry (IHC) Panel,"P16, HPV",,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.99.00.0000456.01.01,东肝,术后病理_D2-40,,SI1114881,,,,,枚举,,,,,,0=阴性;1=阳性;9=未描述,否,,,,
420,LI0000051,cea76c2b9a65eef64bfe8223e11df1365c27f71279253a1421c6e988d8409f7b,Yes,"病理诊断,病理检查","东肝,九院",检查与检测,免疫组化项目及结果,IHC_PANEL,使用免疫组化技术检测的不同生物标记物的结果。,Immunohistochemistry (IHC) Panel,"P16, HPV",,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.99.00.0000488.01.01,东肝,术后病理_VEGF,,SI1114913,,,,,枚举,,,,,,0=阴性;1=阳性;9=未描述,否,,,,
425,LI0000051,cea76c2b9a65eef64bfe8223e11df1365c27f71279253a1421c6e988d8409f7b,Yes,"病理诊断,病理检查","东肝,九院",检查与检测,免疫组化项目及结果,IHC_PANEL,使用免疫组化技术检测的不同生物标记物的结果。,Immunohistochemistry (IHC) Panel,"P16, HPV",,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.99.00.0000453.01.01,东肝,术后病理_CK20,,SI1114878,,,,,枚举,,,,,,0=阴性;1=阳性;9=未描述,否,,,,
