序号,系统编码,标签版本,是否当前版本,适用文书类型,医院,所属标签包,标签名称,标签CODE,定义/描述,标签英文名,其他名称,来源,来源版本,来源编码,标准名称,标准类型,CDE编号,CDE来源,CReDEs-数据项,CReDEs-值域描述,原映射编码,CReDEs_限定范围,CReDEs_限定范围(英文),CReDEs_值域描述,CReDEs_值域描述(英文),数据类型,文本-长度,数字-长度,数字-精度,数字-单位,日期/时间,枚举-可选内容,枚举-是否多选,,,,
206,LI0000023,e521cef29707dd645e2f83aae4c7bcc3d02e8285142e236ec9768d864701becf,Yes,"诊断,现病史",胸科,解剖与病理信息,NSCLC解剖定位,NSCLC_TYPE,按发生部位划分的NSCLC病理分型,NSCLC type,,,,,NSCLC-pd1抑制剂疗效ETT数据集,数据集标准,NSCLC_QTLX,上海胸科,NSCLC 类型（其他）,,SI0100039,,,,,文本,500,,,,,,,,,,
208,LI0000024,21e33adeea0f07e76dd41f776cd25a10c33ca4f1269e57fcc8d008321bd9aef1,Yes,"病理,诊断,现病史",胸科,解剖与病理信息,TNM分期,TNM,国际抗癌协会(UICC)提出的专门用来在癌症治疗过程中确定肿瘤病变范围的分类方法,TNM,,,,,NSCLC-pd1抑制剂疗效ETT数据集,数据集标准,T_STAGE_SH,上海胸科,术后病理yp-TNM分期-T分期,,SI0100391,,,,,枚举,,,,,,1=T0;2=T1a;3=T1b;4=T1c;5=T2a;6=T2b;7=T3;8=T4;9=Tis;10=不详,否,,,,
210,LI0000024,21e33adeea0f07e76dd41f776cd25a10c33ca4f1269e57fcc8d008321bd9aef1,Yes,"病理,诊断,现病史",胸科,解剖与病理信息,TNM分期,TNM,国际抗癌协会(UICC)提出的专门用来在癌症治疗过程中确定肿瘤病变范围的分类方法,TNM,,,,,NSCLC-pd1抑制剂疗效ETT数据集,数据集标准,N_STAGE_SH,上海胸科,术后病理yp-TNM分期-N分期,,SI0100392,,,,,枚举,,,,,,1=N0;2=N1;3=N2;4=N3;5=不详,否,,,,
212,LI0000024,21e33adeea0f07e76dd41f776cd25a10c33ca4f1269e57fcc8d008321bd9aef1,Yes,"病理,诊断,现病史",胸科,解剖与病理信息,TNM分期,TNM,国际抗癌协会(UICC)提出的专门用来在癌症治疗过程中确定肿瘤病变范围的分类方法,TNM,,,,,NSCLC-pd1抑制剂疗效ETT数据集,数据集标准,M_STAGE_BS,上海胸科,非小细胞肺癌TNM 分期_M 远处转移,,SI0100036,,,,,枚举,,,,,,1=M0;2=M1a;3=M1b;4=M1c;5=不详,否,,,,
214,LI0000024,21e33adeea0f07e76dd41f776cd25a10c33ca4f1269e57fcc8d008321bd9aef1,Yes,"病理,诊断,现病史",胸科,解剖与病理信息,TNM分期,TNM,国际抗癌协会(UICC)提出的专门用来在癌症治疗过程中确定肿瘤病变范围的分类方法,TNM,,,,,NSCLC-pd1抑制剂疗效ETT数据集,数据集标准,M_STAGE_SH,上海胸科,术后病理yp-TNM分期-M分期,,SI0100393,,,,,枚举,,,,,,1=M0;2=M1a;3=M1b;4=M1c;5=不详,否,,,,
215,LI0000024,21e33adeea0f07e76dd41f776cd25a10c33ca4f1269e57fcc8d008321bd9aef1,Yes,"病理,诊断,现病史",胸科,解剖与病理信息,TNM分期,TNM,国际抗癌协会(UICC)提出的专门用来在癌症治疗过程中确定肿瘤病变范围的分类方法,TNM,,,,,NSCLC-pd1抑制剂疗效ETT数据集,数据集标准,T_STAGE_SQ,上海胸科,术前TNM 分期_原发肿瘤(T),,SI0100122,,,,,枚举,,,,,,1=T0;2=T1a;3=T1b;4=T1c;5=T2a;6=T2b;7=T3;8=T4;9=Tis;10=不详,否,,,,
216,LI0000024,21e33adeea0f07e76dd41f776cd25a10c33ca4f1269e57fcc8d008321bd9aef1,Yes,"病理,诊断,现病史",胸科,解剖与病理信息,TNM分期,TNM,国际抗癌协会(UICC)提出的专门用来在癌症治疗过程中确定肿瘤病变范围的分类方法,TNM,,,,,NSCLC-pd1抑制剂疗效ETT数据集,数据集标准,N_STAGE_BS,上海胸科,非小细胞肺癌TNM 分期_N 区域淋巴结,,SI0100035,,,,,枚举,,,,,,1=N0;2=N1;3=N2;4=N3;5=不详,否,,,,
217,LI0000024,21e33adeea0f07e76dd41f776cd25a10c33ca4f1269e57fcc8d008321bd9aef1,Yes,"病理,诊断,现病史",胸科,解剖与病理信息,TNM分期,TNM,国际抗癌协会(UICC)提出的专门用来在癌症治疗过程中确定肿瘤病变范围的分类方法,TNM,,,,,NSCLC-pd1抑制剂疗效ETT数据集,数据集标准,T_STAGE_BS,上海胸科,非小细胞肺癌TNM 分期_原发肿瘤(T),,SI0100034,,,,,枚举,,,,,,1=T0;2=T1a;3=T1b;4=T1c;5=T2a;6=T2b;7=T3;8=T4;9=Tis;10=不详,否,,,,
218,LI0000024,21e33adeea0f07e76dd41f776cd25a10c33ca4f1269e57fcc8d008321bd9aef1,Yes,"病理,诊断,现病史",胸科,解剖与病理信息,TNM分期,TNM,国际抗癌协会(UICC)提出的专门用来在癌症治疗过程中确定肿瘤病变范围的分类方法,TNM,,,,,NSCLC-pd1抑制剂疗效ETT数据集,数据集标准,N_STAGE_SQ,上海胸科,术前TNM 分期_N 区域淋巴结,,SI0100123,,,,,枚举,,,,,,1=N0;2=N1;3=N2;4=N3;5=不详,否,,,,
219,LI0000024,21e33adeea0f07e76dd41f776cd25a10c33ca4f1269e57fcc8d008321bd9aef1,Yes,"病理,诊断,现病史",胸科,解剖与病理信息,TNM分期,TNM,国际抗癌协会(UICC)提出的专门用来在癌症治疗过程中确定肿瘤病变范围的分类方法,TNM,,,,,NSCLC-pd1抑制剂疗效ETT数据集,数据集标准,M_STAGE_SQ,上海胸科,术前TNM 分期_M 远处转移,,SI0100124,,,,,枚举,,,,,,1=M0;2=M1a;3=M1b;4=M1c;5=不详,否,,,,
